Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,EQ,19-Oct-22,2331.65,2376.6,2415.95,2368.6,2377,2381.8,2392.51,4465058,10682687279,189883,2285322,51.18
HDFC,W3,19-Oct-22,357.7,378.8,392.8,361,367,365.85,377.59,114000,43045230,177,78000,68.42
HDFC,EQ,20-Oct-22,2381.8,2351.6,2374.9,2347.1,2371.4,2369.2,2363.45,2393612,5657193719,84555,1516334,63.35
HDFC,W3,20-Oct-22,365.85,354.1,364.95,352.6,364.95,364.7,357.5,43200,15443880,64,37200,86.11
HDFC,EQ,21-Oct-22,2369.2,2378.8,2378.8,2342,2357,2349.9,2360.35,3242255,7652865623,79965,1869778,72.65
HDFC,W3,21-Oct-22,364.7,363.05,366,356,364.95,361.3,361.88,11400,4125390,19,8400,87.5
HDFC,EQ,24-Oct-22,2349.9,2387.35,2400,2387.35,2392.2,2393,2394.78,327385,784015442.8,15219,168909,51.59
HDFC,W3,24-Oct-22,361.3,384.9,387.9,369.9,370,370.95,372.28,103200,38419260,140,86400,83.72
HDFC,EQ,25-Oct-22,2393,2385.1,2401,2352.75,2353.25,2356.7,2374.23,3731718,8859945940,118520,2973419,79.68
HDFC,W3,25-Oct-22,370.95,370,373.5,348,348,349.75,365.22,45600,16654110,65,40200,88.16
HDFC,EQ,27-Oct-22,2356.7,2394,2404.3,2363,2386,2383.3,2381.64,3857960,9188286701,132802,2832448,73.42
HDFC,W3,27-Oct-22,349.75,365.65,368,356,360,360,362.15,7200,2607510,12,4800,66.67
HDFC,EQ,28-Oct-22,2383.3,2383.7,2420.25,2379.3,2400,2400.45,2402.1,3234497,7769575583,140217,1769214,76.51
HDFC,W3,28-Oct-22,360,365,386.9,360,365,365.4,374.28,87000,32562090,121,58200,72.93
HDFC,EQ,31-Oct-22,2400.45,2418,2475,2412.55,2470,2469.8,2448.63,3168194,7757742487,173863,2087531,65.89
HDFC,W3,31-Oct-22,365.4,379.95,384.5,375.15,380,381,380.85,313200,119280870,346,298200,95.21
HDFC,EQ,1-Nov-22,2469.8,2480,2518,2474.95,2509.3,2506.2,2505.95,2913438,7300942592,162384,2004375,68.8
HDFC,W3,1-Nov-22,381,390,418,385,407.4,402,405.59,319200,129465510,404,244200,76.5
HDFC,EQ,2-Nov-22,2506.2,2498.15,2523.2,2493.45,2509.8,2508,2510.59,2438809,6122845990,108636,1780166,72.99
