Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,27-Jan-22,1722.15,1702,1709.7,1665,1686.95,1678.6,1681.31,11231734,18884048987,495160,7723452,68.76
INFY,EQ,28-Jan-22,1678.6,1681,1727.55,1679.5,1685.8,1686.2,1701.31,10998502,18711813889,336935,7661273,69.66
INFY,EQ,31-Jan-22,1686.2,1718,1749.5,1715.35,1737.85,1736.2,1736.84,8788872,15264864509,313682,5882867,66.94
INFY,EQ,1-Feb-22,1736.2,1766.1,1780,1734.7,1773,1772.05,1766.97,5119935,9046788138,186159,2894768,56.54
INFY,EQ,2-Feb-22,1772.05,1789,1792.8,1772,1787.65,1787.1,1785.72,4253717,7595951820,146941,2786527,65.51
INFY,EQ,3-Feb-22,1787.1,1779,1779,1734,1736.3,1738.55,1755.15,3832922,6727366646,183506,2209861,57.65
INFY,EQ,4-Feb-22,1738.55,1732,1753.95,1710.15,1740,1741.1,1736.2,4700077,8160294996,193857,2276923,48.44
INFY,EQ,7-Feb-22,1741.1,1722.2,1732,1695.4,1713,1715,1714.37,4310209,7389275044,254813,2500420,58.01
INFY,EQ,8-Feb-22,1715,1710,1725,1696,1708.6,1717.3,1712.06,6053401,10363805940,222044,4052016,66.94
INFY,EQ,9-Feb-22,1717.3,1735,1743,1725,1739,1737.3,1736.09,3867244,6713900255,178730,2358994,61
INFY,EQ,10-Feb-22,1737.3,1755.65,1773.9,1748.75,1771.6,1769.6,1760.55,4334630,7631331627,206904,2830975,65.31
INFY,EQ,11-Feb-22,1769.6,1740,1745.95,1713,1719.65,1721.35,1720.68,7551371,12993527942,430200,5283038,69.96
INFY,EQ,14-Feb-22,1721.35,1690,1718.55,1678.25,1684,1682.2,1698.58,7459637,12670785136,280769,5340084,71.59
INFY,EQ,15-Feb-22,1682.2,1699,1746.75,1690.45,1742.3,1738.25,1721.75,4669915,8040412171,188794,2821157,60.41
INFY,EQ,16-Feb-22,1738.25,1738.25,1755.45,1726.85,1731.5,1733.3,1740.74,5350642,9314065943,162198,3844416,71.85
INFY,EQ,17-Feb-22,1733.3,1744,1749,1720.3,1723.7,1724.8,1731.45,3937950,6818374504,110732,2479087,62.95
INFY,EQ,18-Feb-22,1724.8,1710,1722.5,1703.5,1705.95,1706.95,1711.87,5602215,9590289596,159019,4009595,71.57
INFY,EQ,21-Feb-22,1706.95,1701,1737.3,1691.5,1729.5,1730.7,1718.04,5120890,8797869134,205567,3280628,64.06
INFY,EQ,22-Feb-22,1730.7,1699.9,1751,1691.05,1733,1734.35,1721.17,8878515,15281431405,227885,6148656,69.25
INFY,EQ,23-Feb-22,1734.35,1750,1758.25,1733.4,1742.8,1742.85,1742.56,5478811,9547154732,191067,3712420,67.76
INFY,EQ,24-Feb-22,1742.85,1690.1,1714.95,1670.5,1674.8,1678.15,1689.92,13592379,22970021734,376409,9349789,68.79
INFY,EQ,25-Feb-22,1678.15,1715,1728.15,1677,1696,1694.6,1698.96,9737281,16543242534,305050,5913267,60.73
INFY,EQ,28-Feb-22,1694.6,1682.2,1728.05,1665,1719,1715.6,1709.44,15076542,25772414335,330427,8905012,59.07
INFY,EQ,2-Mar-22,1715.6,1710,1714.4,1691,1702.55,1702.8,1703.13,6771489,11532701359,301403,4673594,69.02
INFY,EQ,3-Mar-22,1702.8,1720.2,1733.9,1705.55,1721.75,1720.85,1722.78,7344147,12652331996,262571,4775991,65.03
INFY,EQ,4-Mar-22,1720.85,1695.25,1736,1681,1721.9,1723.3,1714.49,9074499,15558102518,317226,5315522,58.58
INFY,EQ,7-Mar-22,1723.3,1697,1751,1696,1740,1739.85,1734.13,9742588,16894926798,317768,6671605,68.48
INFY,EQ,8-Mar-22,1739.85,1718.45,1800,1718.45,1775.2,1778.2,1771.93,10984500,19463755937,320286,6670845,60.73
INFY,EQ,9-Mar-22,1778.2,1791,1831.6,1791,1817.8,1813.35,1818.64,10193515,18538320341,290276,4998155,49.03
INFY,EQ,10-Mar-22,1813.35,1844.75,1844.75,1810.2,1822.1,1825.9,1823.68,6547182,11939977607,195637,4239162,64.75
INFY,EQ,11-Mar-22,1825.9,1814,1831.4,1811,1823.3,1822,1822.73,4758657,8673758340,148439,3194954,67.14
INFY,EQ,14-Mar-22,1822,1831.55,1895,1831.55,1891,1890.7,1872.1,10289724,19263377771,271878,6666093,64.78
INFY,EQ,15-Mar-22,1890.7,1888.35,1888.35,1830,1838,1839.3,1852.89,7140443,13230484534,224849,4846167,67.87
INFY,EQ,16-Mar-22,1839.3,1865,1893.95,1849,1889,1889.4,1874.83,5233979,9812820161,154465,3133488,59.87
INFY,EQ,17-Mar-22,1889.4,1923.3,1923.3,1833.05,1869.6,1854.6,1869.74,17731459,33153300057,251465,10858451,61.24
